Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
academic_articles,Effects of short-term exposure to air pollutants on real-time blood pressure: a wearable device-based study in China,Journal of Urban Health,,,2025,"Chen Li, Xiu Yang, Kun Qin, Shuhan Yang, **Shaoqing Dai**, Chun Yin, Shujuan Yang, Yuanyuan Shi, Peng Jia",102(5): 1011-1023. doi:10.1007/s11524-025-01017-3. ,"SCI, IF=4.1",
academic_articles,Assessing variations in river networks under urbanization across metropolitan plains using a multi-metric approach,Land,,,2025,"Zhixin Lin, Shuang Luo, Miao Lu, **Shaoqing Dai**, Youpeng Xu",14(10): 1994. doi:10.3390/land14101994. ,"SSCI, IF=3.2",
academic_articles,Agreicultural socialized service system and its mechanism driving industrial upgrade: based on an empirical study on value chain theory,Resources & Industries,,,2025,"Yuxei Lin, Feng Lu, Zhengyi Xu, Junfeng Xue, **Shaoqing Dai**, Xinying Zhang",7(05): 139-150. doi:10.13776/j.cnki.resourcesindustries.20250901.006. ,in Chinese,
academic_articles,High-resolution population density mapping in urban areas using a contextualized geographically weighted neural network (CGWNN) model,Applied Geography,,,2025,"Ge Qiu, Yuchen Li, Kun Qin, Chen Li, Shuhan Yang, Chun Yin, Yaolin Liu\*, **Shaoqing Dai\***, Peng Jia\*",182: 103708. doi:10.1016/j.apgeog.2025.103708.,"SSCI, IF=5.4",
academic_articles,"Identifying landscape patterns at different scales asdriving factors for urban flooding",Ecological Indicators,,,2025,"Yao Li, Frank Badu Osei, **Shaoqing Dai**, Tangao Hu, Alfred Stein. ",176: 113614. doi:10.1016/j.ecolind.2025.113614.,"SCI, IF=7.4",
academic_articles,"Built environments and obesity: A framework considering residences, commute routes, and workplaces",Cities,,,2025,"Chun Yin, Zhe Zhang, **Shaoqing Dai**, Yiyi Chen",160: 105842. doi:10.1016/j.cities.2025.105842.,"SSCI, IF=6.6",
academic_articles,Toward 3D hedonic price model for vertically developed cities using street view images and machine learning methods,Habitat International,,,2025,"Yue Ying, **Shaoqing Dai\***, Mila Koeva, Monika Kuffer, Claudio Persello, Wen Zhou, Jaap Zevenbergen",156: 103288. doi:10.1016/j.habitatint.2025.103288.,"SSCI, IF=7.0",
academic_articles,Heterogeneous impacts of and vulnerabilities to the COVID-19 pandemic,Landscape Ecology,,,2025,"Manyao Li#, **Shaoqing Dai#**, Yuanyuan Shi#, Kun Qin#, Ross Brownson, Yan Kestens, Miyang Luo, Shiyong Liu, Jing Su, Gordon G. Liu, Shujuan Yang, Peng Jia",40: 32. doi:10.1007/s10980-024-02039-z,"SCI, IF=3.7",
academic_articles,Long-term exposure to PM2.5 chemical constituents and diabesity: evidence from a multi-center cohort study in China,The Lancet Regional Health–Western Pacific,,,2024,"Changwei Cai, Shuzhen Zhu, Mingfang Qin, Xiaoqing Li, Chuanteng Feng, Bin Yu, **Shaoqing Dai**, Ge Qiu, Yuchen Li, Tingting Ye, Wenling Zhong, Ying Shao, Lan Zhang, Peng Jia, Shujuan Yang",47: 101100. doi:10.1016/j.lanwpc.2024.101100,"SCI, IF=8.1",
academic_articles,Street view imagery-based built environment auditing tools: a systematic review,International Journal of Geographical Information Science,,,2024,"**Shaoqing Dai**, Yuchen Li, Alfred Stein, Shujuan Yang, Peng Jia. ",38(6): 1136-1157. doi:10.1080/13658816.2024.2336034,"SCI/SSCI, IF=5.1",
academic_articles,Spatiotemporal patterns of air pollutants over the epidemic course: a national study in China ,Remote Sensing,,,2024,"Kun Qin#, Zhanpeng Wang#, **Shaoqing Dai#**, Yuchen Li, Manyao Li, Chen Li, Ge Qiu, Yuanyuan Shi, Chun Yin, Shujuan Yang, Peng Jia*",16(7): 1298. doi:10.3390/rs16071298.,"SCI, IF=4.1",
